;Secção;;;;;Total
;1 (72km);2 (49km);3 (66km);4 (94km);5 (83km);
Dispersão DCF Ojetivo [ps/nm];-996,06;-626,68;-899,7;-1349,38;-1172,72;
DCM escolhido;G;E;F;H;G;
Dispersão DCM;-1004;-669;-1004;-1339;-1004;
Dispersão SSMF [ps/nm];1156,32;786,94;1059,96;1509,64;1332,98;
Dres Secção;152,32;117,94;55,96;170,64;328,98;825,84
Substimação DCM;-7,94;-42,32;-104,3;10,38;168,72;
;;;;;;
Dispersão DCF Ojetivo [ps/nm];-996,06;-626,68;-899,7;-1349,38;-1172,72;
DCM escolhido;G;E;F;H;H;
Dispersão DCM;-1004;-669;-1004;-1339;-1339;
Dispersão SSMF [ps/nm];1156,32;786,94;1059,96;1509,64;1332,98;
Dres Secção;152,32;117,94;55,96;170,64;-6,02;490,84
Substimação DCM;-7,94;-42,32;-104,3;10,38;-166,28;
